batsman,bowler,runs,balls,dismissals
RG Sharma,KA Pollard,21,13,1
AM Nayar,JP Duminy,2,3,0
MK Pandey,CL White,1,4,0
KK Nair,T Natarajan,1,2,0
V Sehwag,MA Starc,10,12,0
SR Watson,AM Nayar,2,4,0
M Vohra,S Nadeem,14,8,1
CR Brathwaite,UT Yadav,19,6,0
YK Pathan,D du Preez,5,4,1
KD Karthik,SW Tait,32,26,2
R Bhatia,SB Jakati,1,1,0
MR Marsh,RP Singh,1,1,0
ST Jayasuriya,Y Venugopal Rao,8,4,1
CH Gayle,JDP Oram,8,8,0
MR Marsh,Iqbal Abdulla,2,3,0
B Chipli,SK Warne,1,2,0
SS Tiwary,SK Warne,20,11,0
SP Narine,B Kumar,27,20,1
JP Duminy,SB Jakati,16,11,0
A Nehra,MA Starc,0,2,0
SE Marsh,KH Pandya,15,7,0
RJ Harris,DL Vettori,3,7,0
MN van Wyk,KP Appanna,14,10,0
SP Goswami,L Ngidi,12,9,1
KM Jadhav,DT Christian,10,10,0
V Kohli,T Natarajan,0,2,0
AP Tare,Iqbal Abdulla,7,3,0
DB Ravi Teja,L Balaji,30,21,0
SR Tendulkar,MJ Clarke,3,4,0
SB Jakati,DP Nannes,11,6,1
Azhar Mahmood,DL Vettori,4,4,0
BB McCullum,L Ngidi,0,1,1
MK Tiwary,SK Warne,5,9,0
Yuvraj Singh,A Mithun,3,4,0
S Dhawan,Basil Thampi,1,3,0
GJ Bailey,UT Yadav,25,14,1
HH Gibbs,AB Dinda,16,11,1
Vishnu Vinod,Z Khan,8,4,0
MM Sharma,SL Malinga,2,5,1
ML Hayden,KA Pollard,4,6,2
S Badree,GJ Maxwell,5,4,0
JC Buttler,Kuldeep Yadav,23,21,1
MS Dhoni,Jaskaran Singh,8,3,0
JEC Franklin,JP Duminy,2,2,0
V Kohli,K Ahmed,11,4,1
R Bhatia,CJ Anderson,9,5,0
Azhar Mahmood,Harbhajan Singh,24,19,1
F du Plessis,AL Menaria,8,6,0
KK Nair,BCJ Cutting,13,4,0
A Mishra,JO Holder,11,10,0
DJ Hussey,KA Pollard,26,23,1
JA Morkel,R Ashwin,13,18,0
WPUJC Vaas,A Nehra,8,4,0
Mandeep Singh,L Balaji,32,20,1
CL White,JP Faulkner,1,2,0
BA Stokes,SN Thakur,23,16,0
RR Pant,Shakib Al Hasan,17,12,0
B Lee,AB Agarkar,7,5,0
MK Pandey,CJ Jordan,4,6,0
N Rana,N Saini,20,10,0
SD Chitnis,A Mishra,2,4,0
AB McDonald,A Kumble,1,2,1
GJ Maxwell,TS Mills,10,5,0
MF Maharoof,ST Jayasuriya,9,8,1
CL White,R Ashwin,19,20,0
P Awana,VR Aaron,3,3,0
P Raj,B Kumar,0,1,0
DJ Bravo,RP Singh,20,22,3
S Badrinath,Bipul Sharma,1,1,0
DJ Bravo,Iqbal Abdulla,6,4,1
PC Valthaty,YK Pathan,4,2,1
SV Samson,M Morkel,16,5,0
BCJ Cutting,Shakib Al Hasan,2,2,0
GJ Maxwell,Z Khan,1,1,0
M Klinger,S Aravind,8,7,0
MS Dhoni,V Pratap Singh,1,2,0
S Narwal,AB McDonald,7,4,0
AS Raut,DE Bollinger,6,6,0
JC Buttler,Swapnil Singh,4,4,0
CH Gayle,JE Taylor,2,2,0
JEC Franklin,DL Vettori,7,8,0
WP Saha,CR Brathwaite,5,6,0
EJG Morgan,STR Binny,9,8,0
J Botha,DP Nannes,0,5,0
RR Rossouw,MM Sharma,12,4,0
SPD Smith,MS Gony,10,6,0
Mohammed Siraj,SN Thakur,0,1,0
AM Rahane,Mustafizur Rahman,1,2,0
MJ Lumb,JH Kallis,2,3,0
SS Iyer,PV Tambe,14,10,0
AS Raut,SL Malinga,8,7,0
BB McCullum,SK Raina,29,19,0
AB Agarkar,MS Gony,2,2,1
N Rana,M Markande,17,12,0
Anureet Singh,M Morkel,0,1,0
DJ Jacobs,M Morkel,0,2,1
KM Jadhav,IC Pandey,7,6,0
HM Amla,Imran Tahir,3,4,0
SK Raina,JR Hopes,16,7,0
Yashpal Singh,SK Warne,6,6,1
DJ Hussey,Y Venugopal Rao,13,11,0
AP Tare,Sandeep Sharma,11,10,1
DR Smith,PV Tambe,15,9,0
Sunny Singh,WD Parnell,0,1,0
PA Patel,P Suyal,10,6,0
NM Coulter-Nile,BA Stokes,0,2,1
MS Dhoni,Avesh Khan,9,7,0
AS Raut,Z Khan,10,7,0
CH Gayle,TA Boult,9,6,0
CJ McKay,IK Pathan,4,7,1
KD Karthik,R Sharma,32,28,0
LA Pomersbach,AN Ahmed,2,2,0
Yuvraj Singh,Shakib Al Hasan,3,7,1
G Gambhir,KV Sharma,47,35,2
RA Jadeja,KH Pandya,7,7,1
Harbhajan Singh,SW Tait,1,2,0
R Bhatia,SK Trivedi,13,8,1
Imran Tahir,STR Binny,0,2,1
SV Samson,Yuvraj Singh,25,12,1
PA Patel,P Negi,23,13,0
A Ashish Reddy,Sandeep Sharma,13,3,0
KD Karthik,WA Mota,3,2,0
BCJ Cutting,HV Patel,6,2,1
SR Tendulkar,DW Steyn,50,37,1
RV Uthappa,RN ten Doeschate,2,3,0
DJ Bravo,PJ Cummins,4,3,0
ST Jayasuriya,D du Preez,14,6,0
A Ashish Reddy,AD Mathews,25,12,0
SS Iyer,GB Hogg,7,7,1
S Gopal,A Mishra,6,7,1
KD Karthik,MG Johnson,18,11,0
DJ Hooda,RS Bopara,4,4,0
MS Wade,A Mithun,3,3,1
T Curran,BCJ Cutting,6,6,0
R Dravid,MS Gony,11,15,2
TL Suman,Iqbal Abdulla,1,3,1
TL Suman,RP Singh,2,3,0
M Manhas,S Nadeem,3,6,0
AC Gilchrist,NM Coulter-Nile,5,7,1
AB de Villiers,Ankit Sharma,39,20,0
MD Mishra,A Mishra,4,8,1
BB McCullum,Bipul Sharma,13,16,3
SK Raina,V Pratap Singh,17,7,0
Sachin Baby,Sandeep Sharma,3,3,0
JD Ryder,SK Raina,8,11,0
YK Pathan,Mustafizur Rahman,26,23,1
Z Khan,VRV Singh,0,3,0
LMP Simmons,K Rabada,15,9,0
JDS Neesham,PP Chawla,7,7,1
SE Marsh,SP Narine,18,20,1
I Sharma,A Zampa,0,1,1
SR Tendulkar,JA Morkel,73,47,0
S Dhawan,MR Marsh,16,12,0
G Gambhir,DP Nannes,5,3,0
RV Uthappa,S Kaul,35,30,1
FH Edwards,P Kumar,3,2,0
UBT Chand,RJ Harris,1,2,0
KD Karthik,SK Warne,36,35,1
M Vijay,MN Samuels,2,2,0
RV Uthappa,S Gopal,30,15,0
DB Ravi Teja,M Morkel,0,2,0
DJ Bravo,P Awana,14,19,0
EJG Morgan,PJ Cummins,16,10,1
MEK Hussey,BE Hendricks,1,3,0
R Ashwin,D Wiese,4,2,1
UBT Chand,DW Steyn,8,5,1
DS Kulkarni,MA Starc,1,6,1
G Gambhir,TM Dilshan,13,10,0
AD Russell,A Ashish Reddy,1,3,0
AM Rahane,JO Holder,10,11,1
KS Williamson,AJ Tye,6,7,1
SE Marsh,A Mishra,0,1,1
MC Henriques,Gurkeerat Singh,6,6,1
V Sehwag,DJ Thornely,0,1,1
MS Bisla,S Sreesanth,0,1,0
KL Rahul,SB Jakati,10,7,0
STR Binny,DS Kulkarni,6,10,0
Yuvraj Singh,DJG Sammy,1,4,0
LMP Simmons,MC Henriques,6,12,0
MK Pandey,CH Morris,21,20,0
SE Marsh,S Aravind,23,23,1
AC Voges,I Sharma,15,8,0
SR Tendulkar,JDP Oram,20,12,0
P Shaw,DJ Hooda,10,4,0
SW Tait,RA Jadeja,2,3,0
JA Morkel,SB Styris,8,8,0
VVS Laxman,SR Watson,10,13,0
CH Gayle,SMSM Senanayake,11,12,0
CA Lynn,K Ahmed,17,13,1
G Gambhir,S Badree,2,3,0
AC Gilchrist,Iqbal Abdulla,7,9,1
AC Gilchrist,RP Singh,5,10,1
RG Sharma,KW Richardson,11,14,1
PP Ojha,MA Starc,1,4,0
GJ Maxwell,DJG Sammy,13,8,0
AB de Villiers,I Sharma,35,30,0
UT Yadav,B Laughlin,0,1,1
WD Parnell,JH Kallis,3,3,0
JP Duminy,TG Southee,15,18,0
DL Vettori,UT Yadav,3,4,0
R Bhatia,R Ashwin,7,15,0
SR Watson,JD Unadkat,54,33,0
MD Mishra,SJ Srivastava,2,7,0
BA Bhatt,SP Narine,6,2,0
Yuvraj Singh,BA Bhatt,20,4,0
RA Tripathi,SR Watson,1,2,0
SV Samson,Mohammed Shami,20,9,0
R Dravid,R Sharma,32,26,1
BB McCullum,BB Sran,23,15,0
MK Pandey,VR Aaron,10,8,0
PD Collingwood,CL White,18,6,0
A Mishra,P Negi,9,6,1
Rashid Khan,JJ Bumrah,2,5,3
VVS Laxman,IK Pathan,12,9,0
AJ Finch,Azhar Mahmood,18,10,0
Gurkeerat Singh,B Kumar,11,10,1
M Vijay,TA Boult,22,16,0
D Wiese,AR Patel,1,1,0
PA Patel,I Sodhi,1,2,0
PP Chawla,HH Pandya,1,4,0
S Dhawan,NLTC Perera,16,9,0
MK Pandey,S Curran,9,7,0
HM Amla,MJ McClenaghan,12,12,0
RV Uthappa,B Laughlin,7,5,0
KD Karthik,S Sreesanth,5,9,0
YK Pathan,GB Hogg,10,8,0
R Dhawan,Azhar Mahmood,1,4,1
SE Marsh,SB Wagh,5,6,1
Shivam Sharma,JJ Bumrah,1,1,0
V Kohli,AD Mathews,9,13,1
RV Gomez,WD Parnell,13,5,0
Q de Kock,KV Sharma,15,9,2
AR Patel,BCJ Cutting,2,3,0
M Ali,Basil Thampi,20,7,0
SK Trivedi,DR Smith,5,3,1
SK Warne,M Ntini,6,3,0
SV Samson,C de Grandhomme,1,1,0
M Vohra,S Kaul,17,10,0
CJ Anderson,PV Tambe,28,14,0
KA Pollard,DT Christian,0,2,2
Kamran Akmal,B Lee,7,3,0
SN Khan,SP Narine,1,2,0
AB de Villiers,Bipul Sharma,4,5,1
S Dhawan,Avesh Khan,8,4,0
GH Vihari,MG Johnson,12,13,0
DNT Zoysa,PP Chawla,1,1,0
KA Pollard,CH Gayle,17,6,0
RV Uthappa,J Syed Mohammad,1,1,0
R Rampaul,DS Kulkarni,1,3,0
MK Tiwary,KA Pollard,39,25,1
KH Pandya,TG Southee,3,4,0
M Kaif,RR Raje,6,8,1
MK Pandey,BCJ Cutting,25,14,0
LMP Simmons,VR Aaron,30,17,0
J Bairstow,N Rana,7,4,0
SA Yadav,B Kumar,20,12,1
Q de Kock,P Negi,1,2,0
JA Morkel,P Kumar,19,19,1
AT Rayudu,GJ Maxwell,14,9,0
AC Gilchrist,DP Nannes,45,23,2
NV Ojha,PP Ojha,3,5,1
SPD Smith,KJ Abbott,15,6,0
RG Sharma,Umar Gul,9,9,0
RV Uthappa,RP Singh,37,32,0
RV Uthappa,Iqbal Abdulla,24,25,3
Iqbal Abdulla,MF Maharoof,1,2,0
GJ Maxwell,JH Kallis,17,13,0
DJ Bravo,Jaskaran Singh,1,1,0
P Dogra,Shakib Al Hasan,1,1,0
M Manhas,SL Malinga,4,6,1
KL Rahul,IC Pandey,2,3,0
J Botha,S Randiv,5,3,0
DL Vettori,R Bhatia,12,5,0
GH Vihari,J Botha,5,7,0
M Manhas,JR Hopes,9,9,1
V Kohli,S Sharma,1,6,1
MEK Hussey,MM Patel,30,21,0
Niraj Patel,CRD Fernando,16,8,0
EJG Morgan,R Shukla,12,6,0
RS Bopara,Pankaj Singh,7,5,0
TG Southee,MP Stoinis,1,1,0
Swapnil Singh,CR Woakes,0,1,1
AT Rayudu,MK Tiwary,9,4,0
R Bhatia,J Botha,2,3,0
PR Shah,RJ Harris,3,4,0
A Symonds,S Sreesanth,35,12,0
LR Shukla,CRD Fernando,17,8,0
BB McCullum,UT Yadav,50,32,1
K Gowtham,M Ur Rahman,1,1,0
GH Vihari,Mohammed Shami,1,5,0
Mashrafe Mortaza,A Symonds,2,2,0
LRPL Taylor,C Nanda,12,7,0
KC Sangakkara,PP Chawla,1,3,1
JD Ryder,P Kumar,25,25,0
AS Raut,Shoaib Ahmed,4,5,0
AS Raut,BA Bhatt,1,2,1
AC Thomas,Z Khan,6,4,0
KC Sangakkara,M Morkel,24,21,1
RP Singh,Sohail Tanvir,0,1,0
RA Tripathi,I Sharma,11,5,0
AD Russell,JP Faulkner,3,4,0
DB Das,YK Pathan,13,8,0
SK Raina,A Symonds,19,17,1
SK Raina,CH Morris,21,23,3
MK Pandey,L Ferguson,2,2,0
MK Pandey,SK Warne,15,12,0
Y Venugopal Rao,V Kohli,3,3,0
KM Jadhav,KH Pandya,14,18,1
ST Jayasuriya,RE van der Merwe,1,5,2
R Ashwin,DJ Bravo,2,2,0
IK Pathan,NLTC Perera,6,8,1
KD Karthik,DP Nannes,7,7,0
AT Rayudu,S Randiv,1,2,1
M Vijay,A Roy,2,2,0
A Mishra,J Theron,3,4,0
AM Nayar,AM Salvi,0,1,1
G Gambhir,D Wiese,5,4,1
M Vijay,WPUJC Vaas,3,6,1
C de Grandhomme,MG Johnson,7,3,0
RG Sharma,Anand Rajan,6,6,0
Mandeep Singh,JH Kallis,15,19,2
GJ Maxwell,CR Woakes,8,9,0
RS Bopara,JP Duminy,10,6,1
AM Rahane,Shivam Sharma,13,7,0
Y Venugopal Rao,DJ Thornely,6,4,0
M Vijay,Harmeet Singh,9,5,0
STR Binny,Kuldeep Yadav,0,1,1
G Gambhir,DE Bollinger,14,14,0
RS Bopara,SP Narine,1,1,0
JC Buttler,MM Patel,5,6,1
A Singh,Shakib Al Hasan,0,2,1
Niraj Patel,S Sreesanth,18,7,0
LRPL Taylor,YA Abdulla,7,4,1
DA Miller,RP Singh,35,13,0
MA Agarwal,JP Faulkner,0,3,1
MA Agarwal,P Krishna,18,8,0
HM Amla,B Kumar,11,10,2
IK Pathan,JP Duminy,3,5,0
RN ten Doeschate,Karanveer Singh,13,4,1
DR Smith,SM Harwood,5,5,1
P Negi,JH Kallis,6,4,0
DA Miller,Mustafizur Rahman,6,4,0
Y Venugopal Rao,RR Raje,8,4,0
Gurkeerat Singh,MJ McClenaghan,1,1,0
WP Saha,R Vinay Kumar,8,8,0
S Badrinath,RP Singh,17,19,2
S Badrinath,Iqbal Abdulla,7,6,0
AC Blizzard,Iqbal Abdulla,9,7,0
PA Reddy,A Chandila,4,11,1
Washington Sundar,Mohammed Shami,5,3,0
RG Sharma,DS Kulkarni,65,42,4
IK Pathan,Sandeep Sharma,0,5,1
MEK Hussey,Sandeep Sharma,2,6,1
DJ Bravo,Bipul Sharma,2,5,0
YK Pathan,Swapnil Singh,2,2,0
S Gill,TA Boult,7,5,0
KA Pollard,K Paul,2,3,1
S Gill,O Thomas,7,5,0
R Parag,SL Malinga,7,4,0
M Vijay,S Kaul,9,7,0
F du Plessis,MJ McClenaghan,35,21,1
Q de Kock,S Kaul,0,1,1
P Kumar,JR Hopes,1,1,0
MS Dhoni,Shoaib Ahmed,5,9,0
AM Nayar,RJ Harris,5,5,0
SA Yadav,PJ Cummins,4,6,1
AB McDonald,DW Steyn,8,3,0
SE Marsh,PP Chawla,7,5,0
HH Pandya,CH Morris,25,15,0
DT Christian,JR Hopes,5,6,1
BB McCullum,P Awana,17,9,0
B Kumar,HV Patel,1,2,0
AS Raut,Y Venugopal Rao,7,3,0
AM Rahane,P Suyal,8,6,0
KS Williamson,S Gopal,10,15,1
DJ Bravo,M Morkel,3,3,0
LMP Simmons,YS Chahal,18,12,1
DR Smith,JP Duminy,5,6,0
G Gambhir,P Negi,7,6,0
P Dogra,PJ Sangwan,8,7,0
JDP Oram,RP Singh,5,5,0
RE van der Merwe,CH Gayle,7,4,0
Y Venugopal Rao,HV Patel,12,11,0
AD Russell,M Ashwin,1,1,0
BB McCullum,NM Coulter-Nile,19,6,1
A Symonds,YK Pathan,9,3,0
SR Watson,Shahid Afridi,2,3,1
KD Karthik,RJ Harris,7,4,1
SC Ganguly,AG Murtaza,8,10,0
PP Chawla,J Botha,3,4,0
S Badrinath,Azhar Mahmood,0,2,1
MS Bisla,MM Sharma,22,18,0
C Munro,Ankit Sharma,8,4,1
LRPL Taylor,A Flintoff,0,2,1
BJ Hodge,A Singh,8,10,0
DA Miller,SN Thakur,4,4,0
JP Duminy,SK Warne,22,22,1
DA Warner,RA Shaikh,6,3,0
KP Pietersen,MA Starc,2,4,0
RA Jadeja,JJ Bumrah,23,16,0
VVS Laxman,YK Pathan,1,5,0
M Kaif,JD Unadkat,6,4,1
RV Uthappa,P Sahu,6,4,1
AM Rahane,RS Bopara,12,13,0
F du Plessis,RA Jadeja,11,6,0
F du Plessis,SP Narine,12,18,1
A Mithun,A Mishra,0,1,1
V Kohli,Rashid Khan,12,14,1
J Botha,BA Bhatt,1,2,1
MK Pandey,AN Ahmed,8,10,0
ST Jayasuriya,S Tyagi,15,9,1
TL Suman,DT Christian,7,5,0
DB Das,DW Steyn,1,2,0
JP Faulkner,A Mishra,4,5,0
EJG Morgan,RR Powar,3,6,0
Yuvraj Singh,A Kumble,31,18,1
DJ Hussey,SK Trivedi,35,27,4
AS Yadav,Harbhajan Singh,33,28,1
S Aravind,DT Christian,9,6,0
J Bairstow,L Ferguson,8,6,0
G Gambhir,LR Shukla,10,5,0
KA Pollard,R Ashwin,51,33,3
SV Samson,MJ McClenaghan,22,15,4
PA Patel,AB Dinda,54,50,2
M Vijay,RJ Harris,42,40,1
Y Venugopal Rao,MM Sharma,4,4,1
AC Gilchrist,S Tyagi,17,5,0
MS Dhoni,PJ Cummins,4,4,0
TR Birt,DT Christian,2,7,1
C de Grandhomme,V Shankar,4,5,0
M Klinger,DL Vettori,2,3,0
AM Rahane,J Behrendorff,13,10,0
Sandeep Sharma,Mustafizur Rahman,0,3,1
DL Vettori,R Ashwin,0,1,1
B Kumar,MG Johnson,1,3,0
AS Yadav,A Mishra,10,7,0
CL White,JR Hopes,12,6,0
Harbhajan Singh,BJ Hodge,14,4,1
MS Dhoni,SB Bangar,8,9,0
KV Sharma,GB Hogg,4,5,0
YK Pathan,L Ngidi,9,4,0
Z Khan,FH Edwards,2,3,0
GC Smith,YA Abdulla,20,8,0
RE Levi,JA Morkel,2,6,0
R Bhatia,P Awana,14,4,1
WD Parnell,SP Narine,5,9,1
DR Smith,SL Malinga,21,27,1
KH Pandya,Imran Tahir,59,33,2
JH Kallis,SK Warne,18,23,0
M Kaif,RJ Harris,0,1,1
SV Samson,WD Parnell,16,11,1
AP Tare,R Dhawan,1,1,0
RA Jadeja,AJ Tye,5,3,1
SP Narine,S Gopal,13,14,1
MK Tiwary,Shoaib Akhtar,1,2,1
RN ten Doeschate,A Nehra,14,7,0
V Shankar,Mustafizur Rahman,5,3,0
ML Hayden,B Lee,9,10,0
FY Fazal,DR Smith,2,4,0
RV Uthappa,SK Raina,17,14,0
S Narwal,A Nehra,6,3,0
PP Chawla,Kamran Khan,0,2,0
SR Tendulkar,S Ladda,14,7,0
V Sehwag,TG Southee,0,1,1
G Gambhir,Anureet Singh,9,8,0
ML Hayden,AM Nayar,7,3,0
F du Plessis,R Vinay Kumar,18,26,1
MK Pandey,DJ Hooda,2,2,0
K Goel,MM Patel,21,16,1
KD Karthik,Azhar Mahmood,21,13,0
HM Amla,K Rabada,8,7,0
AL Menaria,B Lee,2,5,1
DH Yagnik,RP Singh,1,2,1
NV Ojha,DW Steyn,14,17,0
SS Tiwary,Imran Tahir,4,5,1
AB de Villiers,M Morkel,22,17,0
MEK Hussey,DJ Hussey,8,9,0
C Munro,Mohammad Nabi,2,2,0
ML Hayden,Y Venugopal Rao,5,7,0
DJ Bravo,SE Bond,3,4,0
SE Marsh,AS Raut,7,4,0
B Chipli,JJ van der Wath,2,4,0
SPD Smith,S Badree,28,15,0
P Negi,Iqbal Abdulla,1,1,0
TL Suman,M Kartik,5,7,0
DE Bollinger,A Mishra,1,5,0
LA Pomersbach,RE van der Merwe,4,2,1
SA Asnodkar,A Symonds,21,14,0
SW Billings,MJ McClenaghan,1,1,0
P Shaw,O Thomas,4,2,0
KK Nair,K Gowtham,2,2,0
RR Sarwan,JA Morkel,2,3,0
CR Woakes,A Mishra,0,2,1
JC Buttler,P Negi,6,4,1
Washington Sundar,HH Pandya,1,3,1
MK Pandey,YK Pathan,1,3,0
CH Gayle,S Dhawan,1,1,0
MC Juneja,DJ Hussey,6,8,0
CR Woakes,S Aravind,2,2,0
SK Raina,MJ McClenaghan,50,36,1
B Chipli,GD McGrath,1,9,1
MEK Hussey,YS Chahal,21,12,0
DT Christian,JDP Oram,1,3,0
AB de Villiers,LH Ferguson,1,3,1
P Kumar,KK Cooper,14,6,0
SP Fleming,I Sharma,9,5,0
DL Vettori,Y Nagar,0,2,0
YK Pathan,C Nanda,1,3,1
OA Shah,Jaskaran Singh,10,6,0
Mandeep Singh,RP Singh,9,13,1
S Anirudha,SW Tait,6,2,0
J Bairstow,Kuldeep Yadav,4,4,0
RR Pant,P Negi,0,1,1
CH Gayle,KV Sharma,1,4,2
BB McCullum,MM Patel,14,15,0
STR Binny,Washington Sundar,1,2,0
KK Nair,JP Duminy,1,1,0
MJ Guptill,Z Khan,2,9,1
RA Jadeja,R Bhatia,17,29,1
DPMD Jayawardene,MM Patel,28,29,1
KA Pollard,R Sharma,4,12,1
R Sharma,KA Pollard,3,5,0
F du Plessis,YS Chahal,15,20,1
AJ Finch,M Ashwin,16,8,1
KD Karthik,JH Kallis,53,35,1
OA Shah,SPD Smith,1,1,0
M Manhas,L Ablish,2,2,0
Harbhajan Singh,KW Richardson,4,3,0
STR Binny,TA Boult,5,3,0
Shahid Afridi,P Kumar,0,1,1
AB Agarkar,A Nehra,3,3,0
R Vinay Kumar,RE van der Merwe,2,3,1
M Kaif,ST Jayasuriya,7,8,0
JR Hopes,DJ Bravo,0,1,1
YK Pathan,AC Thomas,2,2,0
IK Pathan,M Kartik,2,2,0
DB Das,PP Ojha,5,5,0
JA Morkel,JP Faulkner,1,1,0
E Lewis,S Warrier,8,10,0
HH Pandya,P Krishna,18,7,0
KK Nair,PP Ojha,35,14,0
AC Gilchrist,UT Yadav,1,4,1
KP Pietersen,M de Lange,13,5,0
AB de Villiers,BA Stokes,4,9,0
GH Vihari,M Kartik,9,10,0
BA Stokes,SP Narine,17,17,1
AJ Finch,A Nehra,4,10,0
RT Ponting,SM Pollock,5,9,0
RR Pant,P Kumar,2,2,0
RR Powar,SM Harwood,1,2,0
Rashid Khan,DJ Bravo,11,3,0
TM Dilshan,MS Gony,9,5,0
IK Pathan,SE Bond,7,4,1
YS Chahal,C de Grandhomme,0,2,1
AM Nayar,K Goel,7,4,0
HH Gibbs,DJ Hussey,2,3,0
M Ashwin,S Sharma,1,1,0
SM Pollock,B Geeves,1,3,0
YK Pathan,MG Johnson,18,15,1
JD Unadkat,Kuldeep Yadav,2,2,0
PC Valthaty,B Lee,7,9,1
MS Bisla,R McLaren,3,2,0
NV Ojha,DS Kulkarni,3,7,0
A Hales,M Lomror,6,4,0
MP Stoinis,UT Yadav,2,4,0
V Kohli,CJ Anderson,16,12,0
Harbhajan Singh,M Muralitharan,14,9,1
AM Rahane,RA Jadeja,20,23,1
KV Sharma,SL Malinga,2,6,1
SS Iyer,R Vinay Kumar,4,6,0
JP Faulkner,A Nehra,6,4,0
A Ashish Reddy,M Kartik,6,8,0
KH Pandya,S Lamichhane,4,3,1
V Shankar,Harbhajan Singh,12,11,0
SPD Smith,MG Johnson,7,12,2
JP Duminy,KP Appanna,6,7,0
DJ Bravo,MR Marsh,0,2,0
AS Yadav,JA Morkel,0,1,1
G Gambhir,IK Pathan,72,52,1
Jaskaran Singh,CK Langeveldt,1,2,0
JA Morkel,SB Bangar,7,5,0
SN Khan,DJ Bravo,14,9,1
MA Starc,SL Malinga,4,3,1
B Chipli,PJ Sangwan,1,1,0
AM Rahane,TA Boult,27,23,1
DJG Sammy,PV Tambe,4,9,0
KH Pandya,S Kaul,16,13,1
V Sehwag,A Mishra,50,25,1
R Dhawan,CH Morris,3,3,0
KD Karthik,MM Patel,20,10,1
N Rana,S Sharma,41,21,0
MN van Wyk,A Mishra,10,7,0
J Bairstow,UT Yadav,22,12,0
DPMD Jayawardene,UT Yadav,8,6,0
SA Yadav,NM Coulter-Nile,13,7,1
J Botha,Z Khan,17,5,0
SR Watson,STR Binny,22,10,0
RJ Quiney,Harbhajan Singh,4,8,0
KL Rahul,Shakib Al Hasan,1,3,0
MP Stoinis,BA Stokes,12,11,0
H Brar,I Sharma,6,4,0
CL White,YK Pathan,2,4,0
Mandeep Singh,Harbhajan Singh,6,11,0
SB Styris,Mohammad Hafeez,1,4,1
MK Pandey,Jaskaran Singh,31,17,0
DJ Bravo,DNT Zoysa,5,5,0
CJ Ferguson,R Bhatia,5,9,1
SS Iyer,K Ahmed,1,3,1
CL White,AB Dinda,9,7,0
YV Takawale,GD McGrath,10,13,0
AM Rahane,JE Taylor,10,4,0
C Ingram,L Ferguson,6,3,0
Z Khan,GD McGrath,4,1,0
KA Pollard,PP Ojha,2,8,1
Y Venugopal Rao,IC Pandey,2,2,0
P Kumar,SK Warne,27,19,1
Yuvraj Singh,VR Aaron,0,1,1
JC Buttler,I Sharma,11,8,0
SW Billings,SP Narine,12,12,0
S Dhawan,CR Woakes,12,6,0
R Dravid,DS Kulkarni,16,18,1
A Kumble,SK Warne,5,3,0
J Botha,DE Bollinger,1,3,1
Gurkeerat Singh,J Botha,11,9,1
PC Valthaty,AM Salvi,12,5,0
KP Pietersen,MM Sharma,2,5,1
AL Menaria,Anand Rajan,8,5,0
RJ Peterson,DJ Bravo,0,2,0
CJ Anderson,BW Hilfenhaus,4,3,0
HH Gibbs,R Bhatia,16,13,0
F du Plessis,S Aravind,5,8,0
R Dravid,GD McGrath,0,1,1
MK Pandey,P Kumar,7,16,3
BA Stokes,TA Boult,6,7,2
HV Patel,SN Thakur,4,5,0
BJ Hodge,A Symonds,9,11,0
TM Head,Rashid Khan,15,9,1
WA Mota,DS Kulkarni,2,4,0
BJ Hodge,S Aravind,0,2,1
GJ Bailey,DJ Hussey,0,1,0
SC Ganguly,M Muralitharan,3,13,1
NV Ojha,YS Chahal,8,6,1
LRPL Taylor,S Randiv,2,3,0
PC Valthaty,VR Aaron,14,14,0
BJ Hodge,Azhar Mahmood,18,13,0
SP Fleming,RP Singh,10,7,0
AC Gilchrist,L Balaji,41,30,0
KA Pollard,JP Duminy,7,3,0
HH Pandya,P Negi,39,11,0
AR Patel,S Badree,2,2,0
RR Rossouw,RG Sharma,3,3,0
Ankit Sharma,S Badree,3,12,0
Shakib Al Hasan,AJ Tye,8,6,0
KV Sharma,PP Chawla,8,9,0
LRPL Taylor,B Lee,8,5,0
PA Patel,CR Woakes,2,7,0
AT Rayudu,S Badree,7,5,0
CL White,P Parameswaran,4,6,2
IK Pathan,JD Ryder,9,8,0
STR Binny,R Sharma,14,8,0
NV Ojha,RE van der Merwe,7,3,0
B Chipli,Z Khan,22,9,0
MN Samuels,P Kumar,8,15,0
AD Russell,SR Watson,46,24,1
Harbhajan Singh,J Botha,3,4,0
KP Pietersen,R Bhatia,13,16,1
A Symonds,KA Pollard,5,5,0
Y Venugopal Rao,R Bhatia,4,8,0
RV Uthappa,T Thushara,2,5,0
MP Stoinis,BCJ Cutting,2,2,0
DB Ravi Teja,I Sharma,5,2,0
MP Stoinis,P Krishna,20,5,0
Kamran Akmal,SK Raina,10,5,0
SK Raina,TL Suman,21,7,0
KS Williamson,M Lomror,2,2,0
M Vohra,MG Johnson,1,2,1
RG Sharma,DE Bollinger,15,10,2
SP Goswami,M Kartik,12,14,0
MK Tiwary,PP Ojha,23,27,1
DJ Hussey,VRV Singh,20,15,0
M Vijay,Sunny Gupta,23,9,0
GJ Bailey,PP Chawla,31,33,2
BA Stokes,MG Johnson,5,3,1
